PROGRAM LATIHAN 16 MINGGU - FULL MARATHON (FM),,,,,,,,,,,,,
Target Pace Rata-rata: 8:00 /km | Dibuat khusus untuk persiapan marathon,,,,,,,,,,,,,
,,,,,,,,,,,,,
Minggu,Fase Latihan,Selasa (Easy Run),Tanggal ,Status,Rabu (Strength/Cross),Status,Kamis (Tempo/Interval),Status,Sabtu (Long Run),Status,Minggu (Recovery/Rest),Status,Total Jarak (Est.)
1,Base Building,5 km (Pace 8:30),9/1/2026,,Strength Training / Core,,3 km + 1 km Pace 8:00,,10 km (Pace 8:15),,Rest / Recovery Walk 3km,,"18,0"
2,Base Building,6 km (Pace 8:30),9/8/2026,,Strength Training / Core,,4 km + 1 km Pace 8:00,,12 km (Pace 8:15),,Rest / Recovery Walk 3km,,"22,0"
3,Base Building,6 km (Pace 8:30),9/15/2026,,Strength Training / Core,,4 km (Pace 8:00),,14 km (Pace 8:15),,Rest / Recovery Walk 3km,,"24,0"
4,Recovery Week,4 km (Pace 9:00),9/22/2026,,Rest / Stretching,,3 km (Easy),,10 km (Pace 8:30),,Rest,,"17,0"
5,Build Endurance,6 km (Pace 8:30),9/29/2026,,Strength Training / Core,,5 km (Interval Ringan),,16 km (Pace 8:15),,Rest / Recovery Walk 3km,,"27,0"
6,Build Endurance,7 km (Pace 8:30),10/6/2026,,Strength Training / Core,,5 km (Tempo Pace 8:00),,18 km (Pace 8:15),,Rest / Recovery Walk 3km,,"30,0"
7,Build Endurance,6 km (Pace 8:30),10/13/2026,,Strength Training / Core,,5 km (Interval Ringan),,21 km (Simulasi Half Marathon),,Rest / Recovery Walk 3km,,"32,0"
8,Recovery Week,4 km (Pace 9:00),10/20/2026,,Rest / Stretching,,3 km (Easy),,14 km (Pace 8:30),,Rest,,"21,0"
9,Peak Block,7 km (Pace 8:30),10/27/2026,,Strength Training / Core,,6 km (Tempo Pace 8:00),,24 km (Long Run + Gel Practice),,Rest / Recovery Walk 3km,,"37,0"
10,Peak Block,8 km (Pace 8:30),11/3/2026,,Strength Training / Core,,6 km (Interval),,28 km (Long Run + Gel Practice),,Rest / Recovery Walk 3km,,"42,0"
11,Peak Block,8 km (Pace 8:30),11/10/2026,,Strength Training / Core,,5 km (Tempo Pace 8:00),,32 km (Peak Long Run FM),,Rest,,"45,0"
12,Recovery Week,5 km (Pace 9:00),11/17/2026,,Rest / Stretching,,3 km (Easy),,18 km (Pace 8:30),,Rest,,"26,0"
13,Tapering Prep,6 km (Pace 8:30),11/24/2026,,Strength Training / Core,,5 km (Pace 8:00),,25 km (Long Run Nyaman),,Rest,,"36,0"
14,Tapering Prep,5 km (Pace 8:30),12/1/2026,,Rest / Core Ringan,,4 km (Easy),,20 km (Pace 8:15),,Rest,,"29,0"
15,Tapering,4 km (Pace 9:00),12/8/2026,,Rest / Stretching,,3 km (Easy),,12 km (Pace 8:30),,Rest,,"19,0"
16,RACE WEEK,3 km (Shakeout Run),12/15/2026,,Rest,,2 km (Easy Jog),,RACE DAY FULL MARATHON (42.2 km),,Rest & Celebration!,,"47,2"
Total Perkiraan Jarak (km),,,,,,,,,,,,,"472,2"
